tpep_pickup_datetime,region,counts
2016-04-01 00:00:00,1231,709
2016-04-01 01:00:00,1231,463
2016-04-01 02:00:00,1231,296
2016-04-01 03:00:00,1231,202
2016-04-01 04:00:00,1231,159
2016-04-01 05:00:00,1231,170
2016-04-01 06:00:00,1231,322
2016-04-01 07:00:00,1231,478
2016-04-01 08:00:00,1231,738
2016-04-01 09:00:00,1231,869
2016-04-01 10:00:00,1231,824
2016-04-01 11:00:00,1231,921
2016-04-01 12:00:00,1231,970
2016-04-01 13:00:00,1231,920
2016-04-01 14:00:00,1231,1019
2016-04-01 15:00:00,1231,933
2016-04-01 16:00:00,1231,724
2016-04-01 17:00:00,1231,782
2016-04-01 18:00:00,1231,857
2016-04-01 19:00:00,1231,920
2016-04-01 20:00:00,1231,1154
2016-04-01 21:00:00,1231,1129
2016-04-01 22:00:00,1231,1162
2016-04-01 23:00:00,1231,994
2016-04-02 00:00:00,1231,816
2016-04-02 01:00:00,1231,646
2016-04-02 02:00:00,1231,482
2016-04-02 03:00:00,1231,414
2016-04-02 04:00:00,1231,336
2016-04-02 05:00:00,1231,160
2016-04-02 06:00:00,1231,228
2016-04-02 07:00:00,1231,304
2016-04-02 08:00:00,1231,342
2016-04-02 09:00:00,1231,642
2016-04-02 10:00:00,1231,776
2016-04-02 11:00:00,1231,872
2016-04-02 12:00:00,1231,934
2016-04-02 13:00:00,1231,925
2016-04-02 14:00:00,1231,927
2016-04-02 15:00:00,1231,896
2016-04-02 16:00:00,1231,836
2016-04-02 17:00:00,1231,817
2016-04-02 18:00:00,1231,1025
2016-04-02 19:00:00,1231,1045
2016-04-02 20:00:00,1231,1010
2016-04-02 21:00:00,1231,942
2016-04-02 22:00:00,1231,1067
2016-04-02 23:00:00,1231,1119
2016-04-03 00:00:00,1231,849
2016-04-03 01:00:00,1231,749
2016-04-03 02:00:00,1231,602
2016-04-03 03:00:00,1231,452
2016-04-03 04:00:00,1231,339
2016-04-03 05:00:00,1231,175
2016-04-03 06:00:00,1231,111
2016-04-03 07:00:00,1231,178
2016-04-03 08:00:00,1231,245
2016-04-03 09:00:00,1231,418
2016-04-03 10:00:00,1231,668
2016-04-03 11:00:00,1231,761
2016-04-03 12:00:00,1231,817
2016-04-03 13:00:00,1231,872
2016-04-03 14:00:00,1231,799
2016-04-03 15:00:00,1231,757
2016-04-03 16:00:00,1231,694
2016-04-03 17:00:00,1231,724
2016-04-03 18:00:00,1231,812
2016-04-03 19:00:00,1231,778
2016-04-03 20:00:00,1231,629
2016-04-03 21:00:00,1231,608
2016-04-03 22:00:00,1231,582
2016-04-03 23:00:00,1231,361
